user_id,event_date,event_name,plan,country,signup_date
U0001,2024-04-25,dashboard_view,free,India,2024-03-22
U0001,2024-04-25,billing_view,free,India,2024-03-22
U0001,2024-04-23,invite_teammate,free,India,2024-03-22
U0001,2024-04-21,api_access,free,India,2024-03-22
U0001,2024-04-15,report_share,free,India,2024-03-22
U0001,2024-04-14,dashboard_view,free,India,2024-03-22
U0001,2024-03-23,invite_teammate,free,India,2024-03-22
U0001,2024-03-30,login,free,India,2024-03-22
U0001,2024-04-03,report_share,free,India,2024-03-22
U0001,2024-05-05,dashboard_view,free,India,2024-03-22
U0001,2024-04-27,dashboard_view,free,India,2024-03-22
U0001,2024-03-26,login,free,India,2024-03-22
U0001,2024-04-02,login,free,India,2024-03-22
U0001,2024-04-18,logout,free,India,2024-03-22
U0001,2024-04-06,settings_change,free,India,2024-03-22
U0001,2024-04-06,login,free,India,2024-03-22
U0001,2024-04-07,report_create,free,India,2024-03-22
U0001,2024-04-14,logout,free,India,2024-03-22
U0001,2024-04-14,dashboard_view,free,India,2024-03-22
U0001,2024-03-31,invite_teammate,free,India,2024-03-22
U0001,2024-04-26,api_access,free,India,2024-03-22
U0001,2024-05-02,dashboard_view,free,India,2024-03-22
U0001,2024-03-31,dashboard_view,free,India,2024-03-22
U0001,2024-03-29,report_create,free,India,2024-03-22
U0001,2024-05-03,logout,free,India,2024-03-22
U0001,2024-04-24,logout,free,India,2024-03-22
U0001,2024-04-24,login,free,India,2024-03-22
U0001,2024-03-30,report_share,free,India,2024-03-22
U0001,2024-04-16,export_data,free,India,2024-03-22
U0001,2024-04-13,invite_teammate,free,India,2024-03-22
U0001,2024-04-04,login,free,India,2024-03-22
U0001,2024-04-18,export_data,free,India,2024-03-22
U0001,2024-04-04,logout,free,India,2024-03-22
U0001,2024-04-24,login,free,India,2024-03-22
U0001,2024-03-31,login,free,India,2024-03-22
U0001,2024-04-23,api_access,free,India,2024-03-22
U0001,2024-03-24,logout,free,India,2024-03-22
U0001,2024-04-10,invite_teammate,free,India,2024-03-22
U0001,2024-03-22,logout,free,India,2024-03-22
U0001,2024-04-25,login,free,India,2024-03-22
U0001,2024-05-03,logout,free,India,2024-03-22
U0001,2024-03-22,report_share,free,India,2024-03-22
U0002,2024-06-01,dashboard_view,free,USA,2024-01-15
U0002,2024-04-22,logout,free,USA,2024-01-15
U0002,2024-05-17,login,free,USA,2024-01-15
U0002,2024-05-31,logout,free,USA,2024-01-15
